# File: Vestas Climate Library time series data
# Disclaimer: Please be aware that the climate data provided here is derived from numerical models, which have inherent uncertainties and limitations. 
#             The data should be used with caution, considering the model's resolution, potential biases, and uncertainties. 
#             Expert consultation, thorough validation, and an understanding of the data's quality are essential for responsible use and decision-making. 
#             Vestas does not assume any responsibilities for the values contained in the VCL data and any calculations or assumptions that may be derived from them.
# License: Vestas Wind Systems A/S
#
# Created: 2023-12-06 19:15:08
# Location (WGS84):
# Requested minimum longitude [decimal degrees E]: 33.34
# Requested minimum latitude [decimal degrees N]: 26.22639
# Requested maximum longitude [decimal degrees E]: 34.36959
# Requested maximum latitude [decimal degrees N]: 27.05463
#
xlat,xlong,swdown_avg,t2_avg,tkepbl_avg_30.0,wsp_avg_30.0,t2_max,sst_min
26.352310,34.295685,263.170511,298.204064,0.2655928436,7.8862720438,307.73,294.11
26.604401,33.929230,267.902017,298.193794,0.4825331991,7.4501085481,318.13,0.00
26.305046,33.925232,271.704216,296.369797,0.4697647491,5.6076307026,318.64,0.00
26.370453,33.506927,274.786694,295.497495,0.4154755565,5.8684307273,317.14,0.00
26.425926,34.091278,266.430928,298.025475,0.4115998330,7.1065914006,318.10,0.00
26.494408,33.642609,273.077571,296.086911,0.4489801840,6.5025944488,318.12,0.00
26.489182,33.398560,275.423222,295.819601,0.3940010928,5.1462054411,317.95,0.00
26.729607,34.340027,262.210088,298.227903,0.3063617972,8.7607481863,307.46,294.31
26.993057,33.546692,275.111269,294.311642,0.6102184880,8.6445088543,313.15,0.00
26.357010,33.353394,273.752044,296.304043,0.4204727777,6.0378813335,319.13,0.00
26.830139,34.138306,262.771383,298.189328,0.3101752462,8.8471349783,308.04,294.23
26.440475,33.636505,272.530037,296.834632,0.4336743616,6.1141707260,319.30,0.00
26.591637,33.470917,275.464183,295.580153,0.4232176194,6.2787520129,318.08,0.00
26.299488,33.985413,268.916042,297.653918,0.4364621326,6.7066472323,320.17,0.00
26.474243,34.157776,263.363347,298.209408,0.2524540825,7.5750401363,307.08,294.13
26.437103,33.970856,268.847579,296.956601,0.3962654480,6.4212439571,316.70,0.00
26.465816,34.248108,263.164768,298.280185,0.2823464173,8.1591918436,307.34,294.12
26.743717,34.189209,262.787439,298.243602,0.3176567755,8.9018413668,308.00,294.22
26.378326,33.720734,270.802983,297.099472,0.4229267364,5.2066171111,319.13,0.00
27.029793,34.039459,262.321307,298.035960,0.2765236078,8.3450914253,310.20,294.28
26.543121,33.404572,274.619300,295.699309,0.3908456817,5.2514852912,318.64,0.00
26.710056,33.667084,273.097634,296.783207,0.5318212814,7.6353451980,317.37,0.00
27.049641,33.522552,273.546068,294.782558,0.4875674950,6.7886603923,315.22,0.00
26.715515,33.606750,274.858502,295.983241,0.4901675828,7.2614470674,316.80,0.00
27.011822,33.640411,271.228202,297.607829,0.5330621380,7.8566215413,318.52,0.00
26.551064,33.618591,272.917117,295.811003,0.4176319488,4.7501068963,318.52,0.00
26.372009,34.085022,267.585049,298.204464,0.4478976045,7.4259811246,318.62,0.00
26.523544,33.919922,268.895032,297.740441,0.4081382570,6.4026712635,318.13,0.00
27.028610,34.344788,261.350479,298.214658,0.2850346195,8.5133056207,306.75,294.33
27.013004,34.220764,261.568300,298.139248,0.2889539728,8.5426108609,306.93,294.26
26.798557,33.890625,269.017291,299.213824,0.6377323300,9.1971119507,317.86,0.00
26.509617,34.070557,266.495443,297.571852,0.3831541023,6.9498201077,316.58,0.00
26.577461,33.926117,268.541473,297.866975,0.4476446722,6.8845267592,317.99,0.00
26.764145,33.368408,274.612246,296.405731,0.5325271739,7.6249252218,317.53,0.00
26.734497,33.395569,275.035862,295.455499,0.4479322050,6.2663861724,317.42,0.00
26.292706,34.349548,263.026018,298.210779,0.2629327865,7.8422265718,308.18,294.15
26.502140,33.856567,269.639942,296.871510,0.3801828022,5.6557502952,317.51,0.00
26.759369,34.313019,262.235720,298.224345,0.3074837628,8.7857218801,307.48,294.29
26.570782,34.290863,262.899592,298.277945,0.3055162520,8.6249778870,307.20,294.20
26.545578,33.678864,272.574777,295.586176,0.4520016359,5.0994025236,317.19,0.00
26.264912,33.768646,271.548446,296.301076,0.4105455394,5.1868270057,317.46,0.00
26.661617,33.600647,275.003931,296.131601,0.4426188190,6.4500034002,317.70,0.00
26.528156,34.164063,263.328518,298.266122,0.2795234195,8.0755041162,307.20,294.14
26.286381,33.831879,270.670946,297.069219,0.4104997141,4.7737434284,318.16,0.00
27.032570,34.009247,262.421407,297.996018,0.2690340025,8.2156245255,311.98,294.29
26.498390,34.191040,263.292445,298.277261,0.2777340473,8.0499778247,307.39,294.13
26.524120,33.615540,273.110033,295.907878,0.4133763501,5.2435528755,318.48,0.00
26.806007,34.104980,262.936960,298.166092,0.3065394158,8.7723555199,308.17,294.22
26.990353,33.576904,272.921158,296.503065,0.6244743896,8.6290344183,315.88,0.00
26.808807,34.074829,263.027771,298.121465,0.2950222284,8.6239971588,307.79,294.22
26.739727,33.639984,273.771000,297.156684,0.5772218801,8.5008082656,317.25,0.00
26.491859,33.368408,275.131740,295.995670,0.3846763446,5.1479075131,318.56,0.00
26.620213,34.052917,263.353387,298.275222,0.2738269889,7.9540004641,311.17,294.17
26.255726,34.162781,267.932371,297.958698,0.4370366191,7.3078418753,318.67,0.00
26.408279,33.389496,275.798520,296.215270,0.4000671721,6.0448277949,318.40,0.00
26.475159,33.853485,269.998576,296.559566,0.3807144455,5.6530736823,318.15,0.00
26.821705,34.228851,262.438052,298.210620,0.3091397084,8.8279390996,307.53,294.23
26.842030,33.712616,273.007928,295.127597,0.5685993663,8.9243789604,314.77,0.00
26.402534,33.753906,270.669028,297.528157,0.4416543919,6.0641200982,319.05,0.00
26.309650,34.169037,266.159176,297.542132,0.4028982368,7.0596075991,318.21,0.00
26.752956,33.793915,270.150714,298.229973,0.6469257894,9.1214845669,318.23,0.00
26.455700,34.064301,266.572404,298.042174,0.4294634830,7.0783853842,318.43,0.00
26.318066,34.078796,268.248124,297.156232,0.4386015510,6.9064573998,318.27,0.00
26.947849,34.335236,261.427263,298.201814,0.2921802956,8.6126952512,306.93,294.33
26.567360,33.437744,275.003413,295.676892,0.4115150478,5.8827851992,318.07,0.00
26.429508,33.756958,271.082688,297.350461,0.4827611266,7.3063168497,318.09,0.00
26.244442,34.283051,263.417557,297.960458,0.2297681676,7.2195933426,307.09,294.05
26.964748,34.154022,262.123625,298.118037,0.2936870167,8.6216784043,309.34,294.25
26.242764,34.009277,270.144318,296.872959,0.3851975124,5.3067391853,319.84,0.00
26.552307,34.197327,263.239618,298.283509,0.2972848948,8.4046813655,307.05,294.15
26.587666,34.110077,263.320268,298.252190,0.2857535850,8.1543067267,308.03,294.16
26.348919,33.443695,275.288788,295.587490,0.4209427751,6.1302478224,317.39,0.00
26.774857,33.552490,275.510845,294.951750,0.5010644468,7.4493961209,315.85,0.00
26.912258,33.537537,275.741444,294.649472,0.5028851464,7.2457571307,315.12,0.00
26.858410,33.531464,275.503700,294.936247,0.5139136073,7.6619546053,315.97,0.00
26.461964,33.699799,272.141130,297.070514,0.5209177177,7.6900214926,317.91,0.00
26.596062,34.019653,266.421375,297.775824,0.4238154908,7.3007258803,317.86,0.00
26.959148,34.214447,261.852771,298.141595,0.2937394433,8.6226318912,308.13,294.25
26.337574,33.868134,270.541198,297.248858,0.4541108270,4.6949303151,319.31,0.00
26.834175,33.498230,275.458750,295.272966,0.4950877827,7.1238422285,316.69,0.00
26.868954,33.715698,272.162722,295.294152,0.4573054008,7.0057753663,315.18,0.00
26.920940,34.332062,261.499591,298.198440,0.2942846776,8.6407375818,308.30,294.32
26.613155,33.534241,274.951244,295.734262,0.4339845227,6.1701001208,317.66,0.00
26.747902,33.549469,275.784270,295.402264,0.5023024970,7.4912045640,316.34,0.00
