# File: Vestas Climate Library time series data
# Disclaimer: Please be aware that the climate data provided here is derived from numerical models, which have inherent uncertainties and limitations. 
#             The data should be used with caution, considering the model's resolution, potential biases, and uncertainties. 
#             Expert consultation, thorough validation, and an understanding of the data's quality are essential for responsible use and decision-making. 
#             Vestas does not assume any responsibilities for the values contained in the VCL data and any calculations or assumptions that may be derived from them.
# License: Vestas Wind Systems A/S
#
# Created: 2023-12-04 15:24:25
# Location (WGS84):
# Requested minimum longitude [decimal degrees E]: 4.75418
# Requested minimum latitude [decimal degrees N]: 53.1617
# Requested maximum longitude [decimal degrees E]: 5.14093
# Requested maximum latitude [decimal degrees N]: 53.34025
# Requested heights [meters]: 30,80,120
#
xlat,xlong,dx,count,wsp_avg,tc_avg,rho_avg,hgt_avg,rh_avg,shear_avg,wsp_perc_interval,tc_perc_interval,rho_perc_interval,hgt_perc_interval,rh_perc_interval,icing_perc_interval,shear_perc_interval,comb_perc_interval
53.315655,4.891571,3000,121337,8.365730,10.322132,1.238224,0.000000,81.968462,0.091051,20.397735233275917,1.9598308842315206,100.0,100.0,100.0,100.0,100.0,0.6453101691981835
53.207195,4.916321,3000,121337,8.013835,10.423587,1.237876,0.370000,80.829484,0.105343,21.99906046795289,2.6150308644518985,100.0,100.0,100.0,100.0,100.0,0.9139833686344644
53.203487,4.871033,3000,121337,8.004717,10.419133,1.237899,0.330000,80.866673,0.106336,22.202625744826392,2.6142067135333824,100.0,100.0,100.0,100.0,100.0,0.8925554447530432
53.333981,5.118591,3000,121337,7.987984,10.345242,1.238171,0.200000,81.277995,0.107684,22.335314042707502,2.5194293579040195,100.0,100.0,100.0,100.0,100.0,0.9865086494638898
53.241680,5.000763,3000,121337,8.012723,10.396029,1.237996,0.200000,81.089108,0.105430,22.091365370826708,2.5581644510742807,100.0,100.0,100.0,100.0,100.0,0.9214007269011102
53.265118,4.949280,3000,121337,7.551516,10.446372,1.237693,0.880000,80.481585,0.124912,24.63964001087879,2.9389221754287647,100.0,100.0,100.0,100.0,100.0,1.2766097727815917
53.250248,4.768005,3000,121337,8.388764,10.362614,1.238070,0.000000,81.917740,0.088938,20.29389221754288,1.9837312608684905,100.0,100.0,100.0,100.0,100.0,0.5909162085761145
53.194725,5.103546,3000,121337,8.096760,10.340350,1.238321,0.000000,81.442110,0.099556,21.31913596017703,2.6191516190444792,100.0,100.0,100.0,100.0,100.0,0.9156316704714969
53.272461,5.039978,3000,121337,7.920565,10.395816,1.237902,0.840000,80.936313,0.110794,22.732554785432306,2.6826112397702264,100.0,100.0,100.0,100.0,100.0,1.016178082530473
53.210884,4.961609,3000,121337,8.049417,10.402238,1.237981,0.230000,81.076979,0.103323,21.748518588723968,2.5532195455631834,100.0,100.0,100.0,100.0,100.0,0.9082143122048509
53.276104,5.085327,3000,121337,7.815068,10.372088,1.237994,0.980000,81.001280,0.115339,23.49736683781534,2.666952372318419,100.0,100.0,100.0,100.0,100.0,1.0466716665155724
